ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Sunday,Sunday_lower,Sunday_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-09-10,22.64822642001547,-3.94214626555858,24.38595864241157,22.64822642001547,22.64822642001547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.383240719261169,-13.383240719261169,-13.383240719261169,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,3.376182121037805,3.376182121037805,3.376182121037805,-6.940465703761972,-6.940465703761972,-6.940465703761972,0.0,0.0,0.0,9.2649857007543
2018-09-11,22.64681282620861,-8.259263108977683,21.07643546925936,22.64681282620861,22.64681282620861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.323950410422903,-16.323950410422903,-16.323950410422903,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.0001044295894714,1.0001044295894714,1.0001044295894714,-7.505097703475369,-7.505097703475369,-7.505097703475369,0.0,0.0,0.0,6.322862415785707
2018-09-12,22.645399232401754,-14.1402233796452,17.699092015184345,22.645399232401754,22.645399232401754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.62019780832525,-20.62019780832525,-20.62019780832525,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.825859172129446,-2.825859172129446,-2.825859172129446,-7.975381499658799,-7.975381499658799,-7.975381499658799,0.0,0.0,0.0,2.025201424076503
2018-09-13,22.6439856385949,-4.150207262466617,26.44257679085856,22.6439856385949,22.6439856385949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.161817431186357,-12.161817431186357,-12.161817431186357,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,5.995660278177228,5.995660278177228,5.995660278177228,-8.338520572826583,-8.338520572826583,-8.338520572826583,0.0,0.0,0.0,10.482168207408542
2018-09-14,22.64257204478804,-13.945870215925504,18.474906669603783,22.64257204478804,22.64257204478804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.611032956136626,-20.611032956136626,-20.611032956136626,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.20779858796363,-2.20779858796363,-2.20779858796363,-8.58427723163599,-8.58427723163599,-8.58427723163599,0.0,0.0,0.0,2.0315390886514137
2018-09-15,22.64115845098118,-18.502079469071816,12.087023146910694,22.64115845098118,22.64115845098118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.089856898765937,-25.089856898765937,-25.089856898765937,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-6.56565871130166,-6.56565871130166,-6.56565871130166,-8.705241050927274,-8.705241050927274,-8.705241050927274,0.0,0.0,0.0,-2.448698447784757
2018-09-16,22.63974485717432,-8.893813559544835,20.245140167163505,22.63974485717432,22.63974485717432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.288612521406275,-17.288612521406275,-17.288612521406275,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.2273696426065057,1.2273696426065057,1.2273696426065057,-8.697025027475775,-8.697025027475775,-8.697025027475775,0.0,0.0,0.0,5.351132335768046
2018-09-17,22.63833126336747,-7.310779879663823,22.984140645669385,22.63833126336747,22.63833126336747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.001159150861547,-15.001159150861547,-15.001159150861547,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,3.376182121033659,3.376182121033659,3.376182121033659,-8.558384135358201,-8.558384135358201,-8.558384135358201,0.0,0.0,0.0,7.637172112505922
2018-09-18,22.63691766956061,-9.146300414138622,20.93585838778539,22.63691766956061,22.63691766956061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.11010570136504,-17.11010570136504,-17.11010570136504,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.0001044295930541,1.0001044295930541,1.0001044295930541,-8.291252994421091,-8.291252994421091,-8.291252994421091,0.0,0.0,0.0,5.52681196819557
2018-09-19,22.63550407575375,-13.337811128375124,18.316723451058426,22.63550407575375,22.63550407575375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.545517796436783,-20.545517796436783,-20.545517796436783,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.8258591721383883,-2.8258591721383883,-2.8258591721383883,-7.900701487761389,-7.900701487761389,-7.900701487761389,0.0,0.0,0.0,2.0899862793169675
